2025-04-03 18:23:57,706 - INFO - Experiment started at 2025-04-03 18:23:57.706371
2025-04-03 18:23:57,707 - INFO - Experiment mode: knowledge_bases
2025-04-03 18:23:57,707 - INFO - Testing knowledge bases: ['kb_a', 'kb_b']
2025-04-03 18:23:57,707 - INFO - Using model: gemma-2-9b
2025-04-03 18:23:57,708 - INFO - Number of questions: 20
2025-04-03 18:23:57,708 - INFO - Repeats per question: 25
2025-04-03 18:23:57,708 - INFO - Timeout: 16 seconds
2025-04-03 18:23:57,708 - INFO - Concurrency: 15 workers
2025-04-03 18:23:57,708 - INFO - Delay between requests: 0.00625 seconds
2025-04-03 18:23:57,708 - INFO - Total API calls expected: 1000
2025-04-03 18:24:42,125 - INFO - Experiment started at 2025-04-03 18:24:42.125248
2025-04-03 18:24:42,126 - INFO - Experiment mode: knowledge_bases
2025-04-03 18:24:42,126 - INFO - Testing knowledge bases: ['kb_a', 'kb_b']
2025-04-03 18:24:42,126 - INFO - Using model: gemma-2-9b
2025-04-03 18:24:42,126 - INFO - Number of questions: 20
2025-04-03 18:24:42,126 - INFO - Repeats per question: 25
2025-04-03 18:24:42,126 - INFO - Timeout: 16 seconds
2025-04-03 18:24:42,126 - INFO - Concurrency: 15 workers
2025-04-03 18:24:42,126 - INFO - Delay between requests: 0.00625 seconds
2025-04-03 18:24:42,126 - INFO - Total API calls expected: 1000
2025-04-03 18:27:41,270 - INFO - Experiment started at 2025-04-03 18:27:41.270448
2025-04-03 18:27:41,271 - INFO - Experiment mode: knowledge_bases
2025-04-03 18:27:41,271 - INFO - Testing knowledge bases: ['kb_a', 'kb_b']
2025-04-03 18:27:41,271 - INFO - Using model: gemma-2-9b
2025-04-03 18:27:41,271 - INFO - Number of questions: 20
2025-04-03 18:27:41,271 - INFO - Repeats per question: 25
2025-04-03 18:27:41,272 - INFO - Timeout: 16 seconds
2025-04-03 18:27:41,272 - INFO - Concurrency: 15 workers
2025-04-03 18:27:41,273 - INFO - Delay between requests: 0.00625 seconds
2025-04-03 18:27:41,273 - INFO - Total API calls expected: 1000
2025-04-03 18:28:38,455 - INFO - Starting repeat 1/25 for all questions
2025-04-03 18:28:38,456 - INFO - Processing kb_a, Q1, repeat 1
2025-04-03 18:28:42,123 - INFO - Processing kb_a, Q2, repeat 1
2025-04-03 18:28:43,018 - INFO - Processing kb_a, Q3, repeat 1
2025-04-03 18:28:43,689 - INFO - Processing kb_a, Q4, repeat 1
2025-04-03 18:28:44,463 - INFO - Processing kb_a, Q5, repeat 1
2025-04-03 18:28:49,878 - INFO - Processing kb_a, Q6, repeat 1
2025-04-03 18:28:51,777 - INFO - Processing kb_a, Q7, repeat 1
2025-04-03 18:28:53,880 - INFO - Processing kb_a, Q8, repeat 1
2025-04-03 18:28:56,647 - INFO - Processing kb_a, Q9, repeat 1
2025-04-03 18:28:58,258 - INFO - Processing kb_a, Q10, repeat 1
2025-04-03 18:28:58,950 - INFO - Processing kb_a, Q11, repeat 1
2025-04-03 18:29:00,510 - INFO - Processing kb_a, Q12, repeat 1
2025-04-03 18:29:01,859 - INFO - Processing kb_a, Q13, repeat 1
2025-04-03 18:29:14,586 - INFO - Processing kb_a, Q14, repeat 1
2025-04-03 18:29:18,162 - INFO - Processing kb_a, Q15, repeat 1
2025-04-03 18:29:18,794 - INFO - Processing kb_a, Q16, repeat 1
2025-04-03 18:29:19,711 - INFO - Processing kb_a, Q17, repeat 1
2025-04-03 18:29:20,369 - INFO - Processing kb_a, Q18, repeat 1
2025-04-03 18:29:22,834 - INFO - Processing kb_a, Q19, repeat 1
2025-04-03 18:29:23,454 - INFO - Processing kb_a, Q20, repeat 1
2025-04-03 18:29:24,383 - INFO - Starting repeat 2/25 for all questions
2025-04-03 18:29:24,383 - INFO - Processing kb_a, Q1, repeat 2
2025-04-03 18:29:26,897 - INFO - Processing kb_a, Q2, repeat 2
2025-04-03 18:29:27,754 - INFO - Processing kb_a, Q3, repeat 2
2025-04-03 18:29:28,427 - INFO - Processing kb_a, Q4, repeat 2
2025-04-03 18:29:29,393 - INFO - Processing kb_a, Q5, repeat 2
2025-04-03 18:29:35,188 - INFO - Processing kb_a, Q6, repeat 2
2025-04-03 18:29:36,888 - INFO - Processing kb_a, Q7, repeat 2
2025-04-03 18:29:39,199 - INFO - Processing kb_a, Q8, repeat 2
2025-04-03 18:29:42,667 - INFO - Processing kb_a, Q9, repeat 2
