2025-04-09 21:10:04,702 - INFO - Experiment started at 2025-04-09 21:10:04.702663
2025-04-09 21:10:04,703 - INFO - Experiment mode: knowledge_bases
2025-04-09 21:10:04,703 - INFO - Testing knowledge bases: ['kb_a', 'kb_b']
2025-04-09 21:10:04,703 - INFO - Using model: gemma-2-9b
2025-04-09 21:10:04,703 - INFO - Number of questions: 20
2025-04-09 21:10:04,703 - INFO - Repeats per question: 25
2025-04-09 21:10:04,703 - INFO - Timeout: 16 seconds
2025-04-09 21:10:04,704 - INFO - Concurrency: 15 workers
2025-04-09 21:10:04,704 - INFO - Delay between requests: 0.00625 seconds
2025-04-09 21:10:04,704 - INFO - Total API calls expected: 1000
2025-04-09 21:13:07,432 - INFO - Experiment started at 2025-04-09 21:13:07.432053
2025-04-09 21:13:07,432 - INFO - Experiment mode: knowledge_bases
2025-04-09 21:13:07,433 - INFO - Testing knowledge bases: ['kb_a', 'kb_b']
2025-04-09 21:13:07,433 - INFO - Using model: gemma-2-9b
2025-04-09 21:13:07,433 - INFO - Number of questions: 20
2025-04-09 21:13:07,433 - INFO - Repeats per question: 25
2025-04-09 21:13:07,433 - INFO - Timeout: 16 seconds
2025-04-09 21:13:07,433 - INFO - Concurrency: 15 workers
2025-04-09 21:13:07,433 - INFO - Delay between requests: 0.00625 seconds
2025-04-09 21:13:07,434 - INFO - Total API calls expected: 1000
2025-04-09 21:13:40,478 - INFO - Starting repeat 1/25 for all questions
2025-04-09 21:13:40,479 - INFO - Processing kb_a, Q1, repeat 1
2025-04-09 21:13:44,597 - INFO - Processing kb_a, Q2, repeat 1
2025-04-09 21:13:45,971 - INFO - Processing kb_a, Q3, repeat 1
2025-04-09 21:13:49,003 - INFO - Processing kb_a, Q4, repeat 1
2025-04-09 21:13:51,852 - INFO - Processing kb_a, Q5, repeat 1
2025-04-09 21:13:53,752 - INFO - Processing kb_a, Q6, repeat 1
2025-04-09 21:13:56,651 - INFO - Processing kb_a, Q7, repeat 1
2025-04-09 21:14:00,755 - INFO - Processing kb_a, Q8, repeat 1
2025-04-09 21:14:02,225 - INFO - Processing kb_a, Q9, repeat 1
2025-04-09 21:14:05,843 - INFO - Processing kb_a, Q10, repeat 1
2025-04-09 21:14:10,115 - INFO - Processing kb_a, Q11, repeat 1
2025-04-09 21:14:11,866 - INFO - Processing kb_a, Q12, repeat 1
2025-04-09 21:14:13,283 - INFO - Processing kb_a, Q13, repeat 1
2025-04-09 21:14:25,516 - INFO - Processing kb_a, Q14, repeat 1
2025-04-09 21:14:29,165 - INFO - Processing kb_a, Q15, repeat 1
2025-04-09 21:14:29,798 - INFO - Processing kb_a, Q16, repeat 1
2025-04-09 21:14:30,691 - INFO - Processing kb_a, Q17, repeat 1
2025-04-09 21:14:31,517 - INFO - Processing kb_a, Q18, repeat 1
2025-04-09 21:14:36,692 - INFO - Processing kb_a, Q19, repeat 1
2025-04-09 21:14:37,287 - INFO - Processing kb_a, Q20, repeat 1
2025-04-09 21:14:38,068 - INFO - Starting repeat 2/25 for all questions
2025-04-09 21:14:38,068 - INFO - Processing kb_a, Q1, repeat 2
2025-04-09 21:14:41,464 - INFO - Processing kb_a, Q2, repeat 2
2025-04-09 21:14:43,576 - INFO - Processing kb_a, Q3, repeat 2
2025-04-09 21:14:46,951 - INFO - Processing kb_a, Q4, repeat 2
2025-04-09 21:14:49,684 - INFO - Processing kb_a, Q5, repeat 2
2025-04-09 21:14:51,947 - INFO - Processing kb_a, Q6, repeat 2
2025-04-09 21:14:55,764 - INFO - Processing kb_a, Q7, repeat 2
2025-04-09 21:14:59,359 - INFO - Processing kb_a, Q8, repeat 2
2025-04-09 21:15:00,915 - INFO - Processing kb_a, Q9, repeat 2
2025-04-09 21:15:04,218 - INFO - Processing kb_a, Q10, repeat 2
2025-04-09 21:15:06,726 - INFO - Processing kb_a, Q11, repeat 2
2025-04-09 21:15:08,259 - INFO - Processing kb_a, Q12, repeat 2
2025-04-09 21:15:12,368 - INFO - Processing kb_a, Q13, repeat 2
2025-04-09 21:15:24,043 - INFO - Processing kb_a, Q14, repeat 2
2025-04-09 21:15:28,186 - INFO - Processing kb_a, Q15, repeat 2
2025-04-09 21:15:28,833 - INFO - Processing kb_a, Q16, repeat 2
2025-04-09 21:15:29,994 - INFO - Processing kb_a, Q17, repeat 2
2025-04-09 21:15:30,794 - INFO - Processing kb_a, Q18, repeat 2
2025-04-09 21:15:35,430 - INFO - Processing kb_a, Q19, repeat 2
2025-04-09 21:15:36,042 - INFO - Processing kb_a, Q20, repeat 2
2025-04-09 21:15:36,860 - INFO - Starting repeat 3/25 for all questions
2025-04-09 21:15:36,860 - INFO - Processing kb_a, Q1, repeat 3
2025-04-09 21:15:39,805 - INFO - Processing kb_a, Q2, repeat 3
2025-04-09 21:15:41,131 - INFO - Processing kb_a, Q3, repeat 3
2025-04-09 21:15:43,796 - INFO - Processing kb_a, Q4, repeat 3
2025-04-09 21:15:46,660 - INFO - Processing kb_a, Q5, repeat 3
2025-04-09 21:15:48,734 - INFO - Processing kb_a, Q6, repeat 3
2025-04-09 21:15:53,783 - INFO - Processing kb_a, Q7, repeat 3
2025-04-09 21:15:57,006 - INFO - Processing kb_a, Q8, repeat 3
2025-04-09 21:15:58,588 - INFO - Processing kb_a, Q9, repeat 3
2025-04-09 21:16:01,717 - INFO - Processing kb_a, Q10, repeat 3
2025-04-09 21:16:04,279 - INFO - Processing kb_a, Q11, repeat 3
2025-04-09 21:16:05,763 - INFO - Processing kb_a, Q12, repeat 3
2025-04-09 21:16:07,032 - INFO - Processing kb_a, Q13, repeat 3
2025-04-09 21:16:19,966 - INFO - Processing kb_a, Q14, repeat 3
2025-04-09 21:16:23,463 - INFO - Processing kb_a, Q15, repeat 3
2025-04-09 21:16:24,107 - INFO - Processing kb_a, Q16, repeat 3
2025-04-09 21:16:25,018 - INFO - Processing kb_a, Q17, repeat 3
2025-04-09 21:16:25,697 - INFO - Processing kb_a, Q18, repeat 3
2025-04-09 21:16:30,673 - INFO - Processing kb_a, Q19, repeat 3
2025-04-09 21:16:31,315 - INFO - Processing kb_a, Q20, repeat 3
2025-04-09 21:16:32,272 - INFO - Starting repeat 4/25 for all questions
2025-04-09 21:16:32,273 - INFO - Processing kb_a, Q1, repeat 4
2025-04-09 21:16:36,605 - INFO - Processing kb_a, Q2, repeat 4
2025-04-09 21:16:37,944 - INFO - Processing kb_a, Q3, repeat 4
2025-04-09 21:16:40,818 - INFO - Processing kb_a, Q4, repeat 4
2025-04-09 21:16:43,504 - INFO - Processing kb_a, Q5, repeat 4
2025-04-09 21:16:45,442 - INFO - Processing kb_a, Q6, repeat 4
2025-04-09 21:16:50,186 - INFO - Processing kb_a, Q7, repeat 4
2025-04-09 21:16:52,648 - INFO - Processing kb_a, Q8, repeat 4
2025-04-09 21:16:54,122 - INFO - Processing kb_a, Q9, repeat 4
2025-04-09 21:16:57,039 - INFO - Processing kb_a, Q10, repeat 4
2025-04-09 21:17:00,168 - INFO - Processing kb_a, Q11, repeat 4
2025-04-09 21:17:01,862 - INFO - Processing kb_a, Q12, repeat 4
2025-04-09 21:17:03,284 - INFO - Processing kb_a, Q13, repeat 4
2025-04-09 21:17:14,063 - INFO - Processing kb_a, Q14, repeat 4
2025-04-09 21:17:18,244 - INFO - Processing kb_a, Q15, repeat 4
2025-04-09 21:17:18,872 - INFO - Processing kb_a, Q16, repeat 4
2025-04-09 21:17:19,779 - INFO - Processing kb_a, Q17, repeat 4
2025-04-09 21:17:20,401 - INFO - Processing kb_a, Q18, repeat 4
2025-04-09 21:17:23,734 - INFO - Processing kb_a, Q19, repeat 4
2025-04-09 21:17:24,335 - INFO - Processing kb_a, Q20, repeat 4
2025-04-09 21:17:25,269 - INFO - Starting repeat 5/25 for all questions
2025-04-09 21:17:25,269 - INFO - Processing kb_a, Q1, repeat 5
2025-04-09 21:17:29,492 - INFO - Processing kb_a, Q2, repeat 5
2025-04-09 21:17:30,822 - INFO - Processing kb_a, Q3, repeat 5
2025-04-09 21:17:33,852 - INFO - Processing kb_a, Q4, repeat 5
2025-04-09 21:17:36,569 - INFO - Processing kb_a, Q5, repeat 5
2025-04-09 21:17:38,802 - INFO - Processing kb_a, Q6, repeat 5
2025-04-09 21:17:42,839 - INFO - Processing kb_a, Q7, repeat 5
2025-04-09 21:17:45,814 - INFO - Processing kb_a, Q8, repeat 5
2025-04-09 21:17:47,209 - INFO - Processing kb_a, Q9, repeat 5
2025-04-09 21:17:50,665 - INFO - Processing kb_a, Q10, repeat 5
2025-04-09 21:17:52,853 - INFO - Processing kb_a, Q11, repeat 5
2025-04-09 21:17:54,379 - INFO - Processing kb_a, Q12, repeat 5
2025-04-09 21:17:55,663 - INFO - Processing kb_a, Q13, repeat 5
2025-04-09 21:18:08,281 - INFO - Processing kb_a, Q14, repeat 5
2025-04-09 21:18:11,967 - INFO - Processing kb_a, Q15, repeat 5
2025-04-09 21:18:12,613 - INFO - Processing kb_a, Q16, repeat 5
2025-04-09 21:18:13,530 - INFO - Processing kb_a, Q17, repeat 5
2025-04-09 21:18:14,195 - INFO - Processing kb_a, Q18, repeat 5
2025-04-09 21:18:15,020 - INFO - Processing kb_a, Q19, repeat 5
