2025-04-10 00:20:49,420 - INFO - Experiment started at 2025-04-10 00:20:49.420094
2025-04-10 00:20:49,420 - INFO - Experiment mode: knowledge_bases
2025-04-10 00:20:49,421 - INFO - Testing knowledge bases: ['kb_a', 'kb_b']
2025-04-10 00:20:49,421 - INFO - Using model: gemma-2-9b
2025-04-10 00:20:49,421 - INFO - Number of questions: 20
2025-04-10 00:20:49,421 - INFO - Repeats per question: 25
2025-04-10 00:20:49,421 - INFO - Timeout: 16 seconds
2025-04-10 00:20:49,421 - INFO - Concurrency: 15 workers
2025-04-10 00:20:49,421 - INFO - Delay between requests: 0.00625 seconds
2025-04-10 00:20:49,421 - INFO - Total API calls expected: 1000
2025-04-10 00:21:21,116 - INFO - Starting repeat 1/25 for all questions
2025-04-10 00:21:21,117 - INFO - Processing kb_a, Q1, repeat 1
2025-04-10 00:21:25,119 - INFO - Processing kb_a, Q2, repeat 1
2025-04-10 00:21:27,087 - INFO - Processing kb_a, Q3, repeat 1
2025-04-10 00:21:29,758 - INFO - Processing kb_a, Q4, repeat 1
2025-04-10 00:21:33,827 - INFO - Processing kb_a, Q5, repeat 1
2025-04-10 00:21:35,343 - INFO - Processing kb_a, Q6, repeat 1
2025-04-10 00:21:40,168 - INFO - Processing kb_a, Q7, repeat 1
2025-04-10 00:21:41,610 - INFO - Processing kb_a, Q8, repeat 1
2025-04-10 00:21:44,034 - INFO - Processing kb_a, Q9, repeat 1
2025-04-10 00:21:46,243 - INFO - Processing kb_a, Q10, repeat 1
2025-04-10 00:21:47,419 - INFO - Processing kb_a, Q11, repeat 1
2025-04-10 00:21:48,969 - INFO - Processing kb_a, Q12, repeat 1
2025-04-10 00:21:50,605 - INFO - Processing kb_a, Q13, repeat 1
2025-04-10 00:22:02,773 - INFO - Processing kb_a, Q14, repeat 1
2025-04-10 00:22:06,096 - INFO - Processing kb_a, Q15, repeat 1
2025-04-10 00:22:06,742 - INFO - Processing kb_a, Q16, repeat 1
2025-04-10 00:22:07,636 - INFO - Processing kb_a, Q17, repeat 1
2025-04-10 00:22:08,298 - INFO - Processing kb_a, Q18, repeat 1
2025-04-10 00:22:10,422 - INFO - Processing kb_a, Q19, repeat 1
2025-04-10 00:22:11,080 - INFO - Processing kb_a, Q20, repeat 1
2025-04-10 00:22:12,017 - INFO - Starting repeat 2/25 for all questions
2025-04-10 00:22:12,017 - INFO - Processing kb_a, Q1, repeat 2
2025-04-10 00:22:14,433 - INFO - Processing kb_a, Q2, repeat 2
2025-04-10 00:22:17,499 - INFO - Processing kb_a, Q3, repeat 2
2025-04-10 00:22:20,531 - INFO - Processing kb_a, Q4, repeat 2
2025-04-10 00:22:23,484 - INFO - Processing kb_a, Q5, repeat 2
2025-04-10 00:22:24,722 - INFO - Processing kb_a, Q6, repeat 2
2025-04-10 00:22:28,367 - INFO - Processing kb_a, Q7, repeat 2
